session	policy	kind	cap_min	min_hold	target	arm	additional	drawdown	split	n	triggered	armed	mean_net_model_pct	median_net_model_pct	p10_net_model_pct	negative_count	actual_profit_mean_pct	date_first	date_last
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.5	trailing_drawdown	20			0.6		0.5	all	26	22	22	1.2573	0.6275	-0.7742	7	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.8	trailing_drawdown	20			0.6		0.8	train	10	9	9	1.5604	0.5934	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.8	trailing_drawdown	20			0.6		0.8	holdout	16	13	13	1.4972	1.1424	-0.978	7	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.8	trailing_drawdown	20			0.6		0.8	all	26	22	22	1.5215	0.73	-0.7742	9	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=1	trailing_drawdown	20			0.6		1.0	train	10	9	9	1.4014	0.32	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.6,drawdown=1	trailing_drawdown	20			0.6		1.0	holdout	16	12	13	1.4258	0.833	-1.0164	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=1	trailing_drawdown	20			0.6		1.0	all	26	21	22	1.4165	0.6159	-0.8125	8	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=0.3	two_stage_rise	20			1.0	0.3		train	10	5	8	1.3769	1.3441	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1,additional=0.3	two_stage_rise	20			1.0	0.3		holdout	16	9	10	1.6576	2.0635	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=0.3	two_stage_rise	20			1.0	0.3		all	26	14	18	1.5496	1.7924	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=0.5	two_stage_rise	20			1.0	0.5		train	10	5	8	1.3769	1.3441	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1,additional=0.5	two_stage_rise	20			1.0	0.5		holdout	16	9	10	1.6576	2.0635	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=0.5	two_stage_rise	20			1.0	0.5		all	26	14	18	1.5496	1.7924	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=1	two_stage_rise	20			1.0	1.0		train	10	2	8	0.6935	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1,additional=1	two_stage_rise	20			1.0	1.0		holdout	16	9	10	1.8027	2.4367	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=1,additional=1	two_stage_rise	20			1.0	1.0		all	26	11	18	1.3761	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.3	trailing_drawdown	20			1.0		0.3	train	10	8	8	1.601	0.7691	-1.0989	3	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=1,drawdown=0.3	trailing_drawdown	20			1.0		0.3	holdout	16	10	10	1.015	0.6838	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.3	trailing_drawdown	20			1.0		0.3	all	26	18	18	1.2404	0.7189	-1.2307	8	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.4	trailing_drawdown	20			1.0		0.4	train	10	8	8	1.601	0.7691	-1.0989	3	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=1,drawdown=0.4	trailing_drawdown	20			1.0		0.4	holdout	16	10	10	0.9626	0.6506	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.4	trailing_drawdown	20			1.0		0.4	all	26	18	18	1.2082	0.7174	-1.2307	9	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.5	trailing_drawdown	20			1.0		0.5	train	10	8	8	1.601	0.7691	-1.0989	3	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=1,drawdown=0.5	trailing_drawdown	20			1.0		0.5	holdout	16	10	10	1.1595	0.6506	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.5	trailing_drawdown	20			1.0		0.5	all	26	18	18	1.3293	0.7174	-1.2307	9	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.8	trailing_drawdown	20			1.0		0.8	train	10	8	8	1.5932	0.73	-1.0989	3	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=1,drawdown=0.8	trailing_drawdown	20			1.0		0.8	holdout	16	10	10	1.4971	1.1424	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=0.8	trailing_drawdown	20			1.0		0.8	all	26	18	18	1.5341	0.8043	-1.2307	9	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=1	trailing_drawdown	20			1.0		1.0	train	10	8	8	1.3476	0.6159	-1.0989	3	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=1,drawdown=1	trailing_drawdown	20			1.0		1.0	holdout	16	10	10	1.4225	0.833	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=1,drawdown=1	trailing_drawdown	20			1.0		1.0	all	26	18	18	1.3937	0.7813	-1.2307	9	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1.5,additional=0.3	two_stage_rise	20			1.5	0.3		train	10	4	5	1.1625	0.2722	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1.5,additional=0.3	two_stage_rise	20			1.5	0.3		holdout	16	8	9	1.5731	1.2688	-1.0427	7	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=1.5,additional=0.3	two_stage_rise	20			1.5	0.3		all	26	12	14	1.4152	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1.5,additional=0.5	two_stage_rise	20			1.5	0.5		train	10	4	5	1.1625	0.2722	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1.5,additional=0.5	two_stage_rise	20			1.5	0.5		holdout	16	8	9	1.5731	1.2688	-1.0427	7	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=1.5,additional=0.5	two_stage_rise	20			1.5	0.5		all	26	12	14	1.4152	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=1.5,additional=1	two_stage_rise	20			1.5	1.0		train	10	2	5	0.6935	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=1.5,additional=1	two_stage_rise	20			1.5	1.0		holdout	16	7	9	1.676	0.6053	-1.0427	7	0.6669	2026-07-28	2026-09-23
