action_block_r	action_enter_r	action_recheck_r	association_status	end_return_10m_n	end_return_10m_r	end_return_1m_n	end_return_1m_r	end_return_20m_n	end_return_20m_r	end_return_30m_n	end_return_30m_r	end_return_3m_n	end_return_3m_r	end_return_5m_n	end_return_5m_r	end_return_60m_n	end_return_60m_r	entry_target_n	entry_target_proxy_r	family	field	field_role	missing_pct	n_present	nonentry_avoidance_n	nonentry_avoidance_proxy_r	outcome_n	outcome_target_first_r	type	unique	values
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[2].risk_code	derived_decision_output	39.08	1875					categorical	6	"{""DISTRIBUTION_RISK"": 61, ""LIQUIDITY_FRAGILE"": 691, ""LIQUIDITY_UNUSABLE"": 127, ""OVEREXTENSION_CHASE"": 16, ""SOURCE_QUALITY_GAP"": 88, ""STRUCTURE_INVALIDATED"": 892}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[3].counterweight_fact_ids.length	derived_decision_output	78.78	653					numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[3].disposition	derived_decision_output	78.78	653					categorical	2	"{""BLOCKING"": 632, ""RECHECKABLE"": 21}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[3].fact_id	derived_decision_output	78.78	653					categorical	9	"{""ask_wall_wide_spread"": 13, ""blocking_overextension"": 3, ""completed_bars_missing"": 21, ""hard_blocker:blocking_overextension"": 16, ""hard_blocker:failed_structure"": 138, ""hard_blocker:large_sell_print_present"": 149, ""hard_blocker:spread_extreme_or_unusable"": 4, ""liquidity_adverse"": 307}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[3].risk_code	derived_decision_output	78.78	653					categorical	5	"{""LIQUIDITY_FRAGILE"": 15, ""LIQUIDITY_UNUSABLE"": 305, ""OVEREXTENSION_CHASE"": 3, ""SOURCE_QUALITY_GAP"": 23, ""STRUCTURE_INVALIDATED"": 307}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[4].counterweight_fact_ids.length	derived_decision_output	93.34	205					numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[4].disposition	derived_decision_output	93.34	205					categorical	1	"{""BLOCKING"": 205}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[4].fact_id	derived_decision_output	93.34	205					categorical	7	"{""blocking_overextension"": 1, ""completed_bars_missing"": 1, ""hard_blocker:blocking_overextension"": 3, ""hard_blocker:failed_structure"": 84, ""hard_blocker:large_sell_print_present"": 98, ""hard_blocker:spread_extreme_or_unusable"": 8, ""liquidity_adverse"": 10}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[4].risk_code	derived_decision_output	93.34	205					categorical	4	"{""LIQUIDITY_UNUSABLE"": 10, ""OVEREXTENSION_CHASE"": 1, ""SOURCE_QUALITY_GAP"": 1, ""STRUCTURE_INVALIDATED"": 193}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[5].counterweight_fact_ids.length	derived_decision_output	99.87	4					numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
